Date,Open,High,Low,Close,Volume
2001-05-09,75.65,78.7,74.5,77.3,681598
2001-05-10,78.95,79.9,75.0,75.3,1411298
2001-05-13,75.2,75.95,74.5,75.0,421166
2001-05-14,74.7,75.5,72.0,74.15,767236
2001-05-15,75.0,79.8,74.9,79.15,1770538
2001-05-16,79.45,84.0,79.45,82.65,1803605
2001-05-17,83.1,85.1,81.5,82.6,1478703
2001-05-20,82.55,84.5,81.6,82.25,952988
2001-05-21,82.95,83.0,80.65,81.05,617288
2001-05-22,82.0,82.0,80.1,80.7,226568
2001-05-23,80.45,82.45,80.35,81.2,403079
2001-05-24,81.9,81.9,78.05,78.85,535941
2001-05-27,79.0,81.2,78.55,80.3,431150
2001-05-28,80.5,84.3,80.0,83.9,1135318
2001-05-29,85.0,86.9,83.2,84.6,1195935
2001-05-30,83.5,84.0,81.3,82.25,464889
2001-05-31,83.0,83.5,80.2,80.65,385490
2001-06-03,80.1,81.0,76.9,79.2,661304
2001-06-04,80.0,81.5,78.15,78.45,698637
2001-06-05,79.8,79.8,76.65,77.0,264326
2001-06-06,77.75,77.75,72.5,73.9,274780
2001-06-07,74.5,77.1,74.0,75.45,552839
2001-06-10,76.5,76.7,74.35,74.45,301072
2001-06-11,74.35,75.2,74.35,74.4,336726
2001-06-12,75.0,75.0,73.0,73.3,334864
2001-06-13,73.0,73.0,71.0,71.5,256693
2001-06-14,71.2,71.2,65.8,68.4,789185
2001-06-17,67.6,68.5,66.3,68.25,279532
2001-06-18,68.0,68.9,64.8,65.3,492546
2001-06-19,66.45,66.5,65.5,65.95,176886
2001-06-20,66.1,66.8,64.0,64.25,166940
2001-06-21,64.75,64.75,60.8,61.15,234916
2001-06-24,60.7,60.7,58.6,58.85,192227
2001-06-25,58.75,61.0,58.75,60.45,272030
2001-06-26,61.5,63.75,60.55,62.35,363211
2001-06-27,62.75,63.05,61.7,62.7,125304
2001-06-28,62.5,63.5,62.05,62.4,209473
2001-07-01,63.5,64.8,63.0,63.65,76636
2001-07-02,63.75,63.75,59.8,60.5,1033535
2001-07-03,61.1,61.1,60.0,60.3,46892
2001-07-04,61.0,65.0,60.6,64.4,84346
2001-07-05,63.0,65.4,63.0,64.55,156676
2001-07-08,64.0,67.9,63.7,67.35,242763
2001-07-09,68.1,73.9,67.95,72.1,528153
2001-07-10,72.9,75.0,71.25,74.85,546120
2001-07-11,72.0,75.4,72.0,74.2,386411
2001-07-12,75.0,75.0,69.5,70.05,297889
2001-07-15,70.0,71.0,68.25,68.85,176897
2001-07-16,68.5,71.45,67.95,70.3,149936
2001-07-17,71.25,72.0,70.75,71.0,127519
2001-07-18,69.0,71.3,69.0,70.7,74799
2001-07-19,70.2,73.3,69.8,71.3,211443
2001-07-22,70.0,70.9,67.2,69.9,15361
2001-07-23,70.0,78.95,69.1,77.45,1039399
2001-07-24,74.0,75.7,72.05,74.6,878779
2001-07-25,74.75,75.0,72.8,74.5,197489
2001-07-26,73.25,74.4,69.25,69.65,227664
2001-07-29,69.9,69.9,65.5,65.95,197486
2001-07-30,65.5,71.4,65.5,70.7,210433
2001-07-31,70.95,71.0,67.5,68.95,173788
2001-08-01,68.3,71.95,68.3,69.85,313854
2001-08-02,70.0,70.8,69.1,69.4,80370
2001-08-05,69.95,72.0,69.55,71.6,163687
2001-08-06,72.0,74.5,71.65,74.0,211538
2001-08-07,73.0,75.7,71.75,74.8,335804
2001-08-08,73.95,75.8,73.0,75.15,155102
2001-08-09,76.1,77.85,75.4,76.5,733123
2001-08-12,77.75,79.35,76.2,78.8,601219
2001-08-13,79.05,80.25,76.0,79.8,452853
2001-08-15,80.0,83.5,78.6,82.65,694689
2001-08-16,83.0,83.0,80.05,81.6,402584
2001-08-19,80.0,81.85,77.05,77.6,196655
2001-08-20,76.65,77.7,73.5,73.85,317287
2001-08-22,74.95,76.7,73.5,75.15,536012
2001-08-23,75.9,75.9,74.2,74.8,140564
2001-08-26,76.25,78.0,75.1,76.75,209489
2001-08-27,76.9,76.9,72.9,73.15,177489
2001-08-28,73.25,76.3,73.25,75.1,453195
2001-08-29,75.4,76.75,74.15,74.85,265983
2001-08-30,74.7,76.25,73.6,75.5,186751
2001-09-02,75.9,76.2,74.6,75.85,130176
2001-09-03,76.0,78.75,75.85,76.95,432996
2001-09-04,77.95,78.5,76.05,76.5,204156
2001-09-05,74.1,77.8,74.1,75.55,234791
2001-09-06,75.0,75.5,74.1,74.6,119150
2001-09-09,75.0,75.9,74.55,74.8,93826
2001-09-10,75.7,75.7,74.6,74.85,69408
2001-09-11,68.0,73.5,68.0,69.85,290140
2001-09-12,72.85,73.0,70.55,70.9,130715
2001-09-13,70.5,70.9,65.9,67.1,252528
2001-09-16,62.9,66.8,62.9,63.7,200741
2001-09-17,63.0,68.0,63.0,65.3,242891
2001-09-18,66.9,71.85,65.8,70.85,341653
2001-09-19,69.6,73.2,69.0,71.0,278094
2001-09-20,70.0,70.0,68.1,68.95,94012
2001-09-23,70.0,70.35,68.2,68.7,99552
2001-09-24,69.0,71.35,69.0,71.05,198178
2001-09-25,70.0,71.7,68.65,69.8,122126
2001-09-26,69.45,70.45,67.8,68.2,206881
2001-09-27,69.1,70.5,68.5,69.05,137703
2001-09-30,71.45,72.25,67.1,67.35,144392
2001-10-02,69.0,71.7,68.2,70.5,938918
2001-10-03,72.3,72.3,68.0,68.75,361389
2001-10-04,70.0,70.8,69.6,70.3,146092
2001-10-07,69.5,70.45,67.1,69.8,116743
2001-10-08,69.5,70.65,69.5,69.8,66223
2001-10-09,70.5,70.5,68.1,68.3,141452
2001-10-10,69.8,72.0,69.6,70.0,546358
2001-10-11,71.5,72.9,70.7,71.15,469228
2001-10-14,71.5,74.2,70.5,73.7,466810
2001-10-15,74.25,77.25,73.55,76.45,420280
2001-10-16,76.9,79.5,75.6,76.15,398160
2001-10-17,75.9,77.2,75.0,75.7,185220
2001-10-18,76.0,78.5,75.45,76.75,487254
2001-10-21,78.25,84.45,78.25,84.45,1035299
2001-10-22,86.9,88.0,85.1,86.7,624059
2001-10-23,87.4,87.55,80.0,80.55,453250
2001-10-24,81.95,83.2,79.8,82.15,451608
2001-10-28,84.0,86.6,81.5,82.7,347441
2001-10-29,81.7,82.0,78.65,80.0,295887
2001-10-30,80.0,86.0,79.9,84.8,955546
2001-10-31,85.4,88.4,83.0,83.7,942254
2001-11-01,85.75,85.8,82.55,83.15,934745
2001-11-04,83.9,84.4,79.8,80.8,1095261
2001-11-05,82.0,85.7,80.05,83.15,2067444
2001-11-06,83.5,86.75,82.85,83.25,2172500
2001-11-07,84.0,87.8,82.6,86.9,2282950
2001-11-08,87.5,92.25,85.1,91.35,2419810
2001-11-11,91.45,91.7,88.25,89.2,1205426
2001-11-12,89.4,90.5,85.3,89.7,1284812
2001-11-13,92.5,96.5,91.2,93.9,538591
2001-11-14,93.55,94.95,92.0,94.2,1332108
2001-11-18,95.0,103.0,94.5,101.15,2188370
2001-11-19,102.5,103.5,95.65,99.1,2228408
2001-11-20,98.05,102.55,96.0,101.3,1878949
2001-11-21,101.95,106.0,101.5,103.7,1314268
2001-11-22,104.1,105.0,102.15,103.2,583233
2001-11-25,103.1,105.9,100.55,101.7,1048821
2001-11-26,102.0,103.0,99.0,99.95,1096028
2001-11-27,99.15,103.4,98.65,102.4,899773
2001-11-28,104.3,105.8,102.2,104.4,1162649
2001-12-02,104.45,107.7,103.15,106.65,554379
2001-12-03,107.0,111.65,107.0,110.55,868757
2001-12-04,114.35,114.35,106.6,107.8,812737
2001-12-05,110.0,111.0,106.1,107.85,802733
2001-12-06,107.5,109.25,101.3,102.15,657085
2001-12-09,101.0,104.5,101.0,102.5,596405
2001-12-10,103.6,108.4,102.25,105.4,699306
2001-12-11,105.95,109.0,105.1,106.15,494074
2001-12-12,107.9,107.9,96.0,101.5,519160
2001-12-13,98.6,105.5,98.0,103.9,569861
2001-12-17,105.25,107.35,101.1,106.55,771314
2001-12-18,108.0,108.0,101.0,101.5,300770
2001-12-19,101.5,101.55,97.6,98.4,563835
2001-12-20,96.1,98.0,96.1,97.5,207258
2001-12-23,96.4,98.0,94.0,95.85,154698
2001-12-25,97.0,99.45,95.0,96.4,255411
2001-12-26,97.5,97.5,93.15,94.55,227696
2001-12-27,70.2,70.2,70.2,70.2,1
2001-12-27,70.2,70.2,70.2,70.2,2
2001-12-27,93.5,97.1,93.0,96.5,239782
2001-12-30,98.85,100.35,96.5,99.85,329319
2001-12-30,84.25,84.25,84.25,84.25,1
2002-01-02,14.0,16.5,12.5,14.8,51516
2002-01-03,95.0,95.0,93.05,93.9,49112
2002-01-03,101.0,103.2,100.3,101.25,275185
2002-01-03,15.25,15.25,14.0,15.0,50204
2002-01-06,15.8,18.0,15.8,17.0,12980
2002-01-06,102.8,104.5,98.6,99.65,613811
2002-01-06,96.9,97.0,93.55,94.5,35154
2002-01-07,101.0,101.0,98.05,99.55,450799
2002-01-07,95.65,95.65,92.5,94.2,28458
2002-01-07,17.0,17.5,17.0,17.5,5645
2002-01-08,100.6,103.0,99.55,101.5,558510
2002-01-08,17.0,18.9,16.95,18.1,21307
2002-01-08,94.5,96.5,94.0,94.9,55993
2002-01-09,101.95,107.85,101.95,106.65,997663
2002-01-09,96.75,100.0,95.9,99.4,74585
2002-01-09,18.4,21.75,18.25,21.65,28741
2002-01-10,22.0,23.5,21.5,23.0,24641
2002-01-10,108.7,114.2,107.05,111.5,2369538
2002-01-10,101.5,106.0,101.5,103.25,61588
2002-01-13,24.5,27.5,24.5,26.35,30679
2002-01-13,108.0,111.25,107.0,109.9,86780
2002-01-13,114.0,118.7,113.8,117.25,1691959
2002-01-14,108.8,110.1,105.7,106.75,133732
2002-01-14,26.1,27.4,25.0,26.4,35730
2002-01-14,117.5,118.25,112.5,115.95,1477785
2002-01-15,117.75,127.55,113.65,124.4,2999043
2002-01-15,26.3,30.0,25.8,29.75,38946
2002-01-15,107.1,115.75,105.5,113.8,153434
2002-01-16,126.0,134.65,121.6,130.7,4174824
2002-01-16,111.55,118.0,111.55,116.2,122082
2002-01-16,114.0,114.0,104.0,104.0,51
2002-01-16,29.9,30.0,28.0,29.7,22435
2002-01-17,28.65,28.65,25.0,26.75,7204
